red,,rods,,pink,,red-pink,,red,,rods,,pink,,red-pink,
Voltage Drop (mv),Experimental,Voltage Drop (mv),Experimental,Voltage Drop (mv),Experimental,Voltage Drop (mv),Experimental,Voltage Drop,Experimental,Voltage Drop,Experimental,Voltage Drop,Experimental,Voltage Drop,Experimental
1760.0,99.5,3360.0,25.0,4400.0,10.0,4400,20,720,363,3600,56,4800,17,2340,94.6
1280.0,138.9,3200.0,44.8,4080.0,20.0,3280,40,672,383,3280,66,4400,27,1800,136.2
960.0,179.8,2240.0,66.8,3320.0,30.0,2440,60,624,403,2920,76,3840,37,1480,175.7
760.0,219.0,1720.0,83.5,2720.0,40.0,1960,80,576,423,2640,86,3360,47,1280,216
600.0,260.1,1240.0,105.4,2380.0,50.0,1600,100,540,443,2400,96,2960,57,1120,255.2
480.0,301.3,912.0,125.7,2180.0,60.0,1380,120,504,463,2160,106,2640,67,1080,295
356.0,340.8,730.0,144.0,2140.0,70.0,1220,140,476,483,1960,116,2480,77,1060,333.4
288.0,380.6,608.0,164.3,2200.0,80.0,1100,160,448,503,1800,126,2400,87,1040,374.4
236.0,420.6,544.0,184.8,2300.0,90.0,1020,180,420,523,1620,136,2400,97,1080,413.3
192.0,459.6,584.0,204.9,2440.0,100.0,960,200,400,543,1480,146,2460,107,1120,455.7
184.0,499.8,656.0,225.7,2600.0,110.0,920,220,380,563,1380,156,2580,117,1160,495
192.0,540.4,712.0,243.3,2780.0,120.0,872,240,364,583,1260,166,2720,127,1220,537.6
224.0,580.5,792.0,265.0,2960.0,130.0,864,260,352,603,1180,176,2880,137,1260,573.8
266.0,620.7,872.0,286.0,3100.0,140.0,864,280,340,623,1100,186,3040,147,1340,613.4
304.0,661.0,944.0,305.2,3260.0,150.0,880,300,338,643,1020,196,3200,157,1380,652.8
344.0,699.1,1020.0,325.7,3400.0,160.0,896,320,336,663,936,206,3360,167,1440,695.6
384.0,738.7,1090.0,345.9,3540.0,170.0,920,340,336,683,896,216,3480,177,1500,726.5
430.0,783.2,1150.0,366.1,3680.0,180.0,944,360,338,703,864,226,3600,187,1580,766.5
468.0,819.6,1220.0,385.9,3800.0,190.0,976,380,342,723,840,236,3780,197,1640,814.6
510.0,862.5,1270.0,405.9,3900.0,200.0,1010,400,348,743,824,246,3800,207,1700,876.7
550.0,900.9,1330.0,426.0,0.0,0.0,1040,420,356,763,816,256,4720,307,1740,913.9
584.0,939.0,1580.0,502.7,0.0,0.0,1070,440,368,783,816,266,5200,407,0.0,0.0
628.0,984.4,1800.0,600.7,0.0,0.0,1100,460,380,803,824,276,0.0,0.0,0.0,0.0
656.0,1018.0,1960.0,699.1,0.0,0.0,1140,480,392,823,840,286,0.0,0.0,0.0,0.0
694.0,1058.0,0.0,0.0,0.0,0.0,1220,500,408,843,856,296,0.0,0.0,0.0,0.0
740.0,1101.0,0.0,0.0,0.0,0.0,1250,520,420,863,880,306,0.0,0.0,0.0,0.0
772.0,1139.0,0.0,0.0,0.0,0.0,1280,540,436,883,896,316,0.0,0.0,0.0,0.0
808.0,1177.0,0.0,0.0,0.0,0.0,1320,560,452,903,920,326,0.0,0.0,0.0,0.0
960.0,1346.0,0.0,0.0,0.0,0.0,1360,580,470,923,952,336,0.0,0.0,0.0,0.0
1290.0,1749.0,0.0,0.0,0.0,0.0,1380,600,480,943,976,346,0.0,0.0,0.0,0.0
1760.0,2267.0,0.0,0.0,0.0,0.0,1420,620,504,963,1000,356,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1460,640,520,983,1030,366,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1480,660,536,1003,1090,376,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1640,760,552,1023,1110,386,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1760,860,568,1043,1140,396,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1880,960,592,1063,1170,406,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1980,1060,608,1083,1190,416,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624,1103,1220,426,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520,526,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720,626,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900,726,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2320,1026,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2620,1326,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2920,1726,0.0,0.0,0.0,0.0